city,lat,lon
GUAYAS,-1.966670336,-79.9167273235
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2373904616,-79.1769761934
ESMERALDAS,1.2859608232,-78.77627956
LOS_RIOS,-1.5571407925,-79.5319652321
LOJA,-4.3798111814,-79.9055991093
LOS_RIOS,-0.8818862993,-79.5274570915
EL_ORO,-3.4805959112,-80.2205017907
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2291420492,-79.1770474965
GUAYAS,-2.148158955,-79.574813789
GUAYAS,-2.1333868777,-79.6868749152
ORELLANA,-0.6969723156,-77.2535435097
ESMERALDAS,0.3371120504,-79.4020342319
GUAYAS,-2.1421010776,-79.6068441623
LOJA,-4.0081729577,-79.2128104415
LOS_RIOS,-1.5556172934,-79.6573395395
EL_ORO,-3.2560857409,-79.9279966801
GUAYAS,-2.15830506,-79.8119088819
LOJA,-4.0030387103,-79.2161488357
LOS_RIOS,-1.5613842316,-79.6655399899
ESMERALDAS,1.2813916347,-78.7808242693
GUAYAS,-2.0613963081,-79.8554882741
EL_ORO,-3.4584727866,-79.9768588853
LOS_RIOS,-1.4378556209,-79.469060069
GUAYAS,-1.8203920069,-80.2169694354
EL_ORO,-3.4698463697,-80.1768397227
LOS_RIOS,-0.8885062885,-79.5101181105
ESMERALDAS,0.9592390676,-79.7047626738
GUAYAS,-1.0629280973,-79.6625296547
GUAYAS,-2.122891041,-79.5106146497
LOS_RIOS,-1.5485028923,-79.5216864587
LOS_RIOS,-1.0117221389,-79.5204279615
IMBABURA,0.3401223245,-78.0607979148
GUAYAS,-1.9646791506,-79.7507235048
GUAYAS,-1.8243810273,-79.7861163267
GUAYAS,-2.6400528058,-80.291182994
GUAYAS,0.3696155323,-78.2139039348
MANABI,-0.7761788818,-80.3002059708
GUAYAS,-2.1259696203,-79.5212141343
ESMERALDAS,0.9609842664,-79.6309194396
LOS_RIOS,-1.0135161707,-79.4040218946
GUAYAS,-2.0657385962,-79.8403819424
GUAYAS,-2.1267903865,-79.5276151067
EL_ORO,-3.3258988333,-79.8887665758
LOS_RIOS,-1.0224536933,-79.5101280956
GUAYAS,-2.4162800392,-80.4261593053
GUAYAS,-1.3776384892,-79.795682715
GUAYAS,-2.1376504662,-79.9786245511
MANABI,-0.9653230764,-80.7727601557
GUAYAS,-2.6423976183,-80.4059271457
GUAYAS,-2.1300771079,-79.4747376324
ESMERALDAS,0.9636024028,-79.5704260573
GUAYAS,0.3837294743,-77.9674076249
PICHINCHA,-0.1728079745,-78.5024069005
